travel;9;0.007
islands;9;0.007
serve;9;0.007
merchants;9;0.007
assistance;9;0.007
hoped;9;0.007
Jesus;9;0.007
hurried;9;0.007
begged;9;0.007
crew;9;0.007
future;9;0.007
row;9;0.007
anywhere;9;0.007
born;9;0.007
sad;9;0.007
increase;9;0.007
Robinson;9;0.007
buried;9;0.007
encouraged;9;0.007
wished;9;0.007
higher;9;0.007
stone;9;0.007
nobody;9;0.007
growing;9;0.007
fled;9;0.007
cap;9;0.007
motion;9;0.007
4;8;0.006
telling;8;0.006
W;8;0.006
aside;8;0.006
struck;8;0.006
women;8;0.006
direction;8;0.006
desires;8;0.006
shook;8;0.006
hanging;8;0.006
bushels;8;0.006
build;8;0.006
bodies;8;0.006
partly;8;0.006
shoes;8;0.006
remained;8;0.006
stream;8;0.006
Spain;8;0.006
wore;8;0.006
love;8;0.006
cakes;8;0.006
shade;8;0.006
linen;8;0.006
wanting;8;0.006
tried;8;0.006
forth;8;0.006
Oh;8;0.006
war;8;0.006
horrid;8;0.006
climate;8;0.006
fee;8;0.006
Dec;8;0.006
blowing;8;0.006
needs;8;0.006
seek;8;0.006
dress;8;0.006
hanged;8;0.006
earthquake;8;0.006
Christ;8;0.006
despair;8;0.006
consequence;8;0.006
laws;8;0.006
beat;8;0.006
square;8;0.006
monstrous;8;0.006
confusion;8;0.006
bloody;8;0.006
difficult;8;0.006
friends;8;0.006
adventures;8;0.006
please;8;0.006
fain;8;0.006
refund;8;0.006
perfect;8;0.006
fortune;8;0.006
musing;8;0.006
remedy;8;0.006
distemper;8;0.006
fifteen;8;0.006
application;8;0.006
using;8;0.006
armed;8;0.006
fancy;8;0.006
carpenter;8;0.006
sailed;8;0.006
upper;8;0.006
sink;8;0.006
November;8;0.006
contented;8;0.006
firearms;8;0.006
fixed;8;0.006
manage;8;0.006
paid;8;0.006
fury;8;0.006
August;8;0.006
ears;8;0.006
October;8;0.006
permission;8;0.006
usually;8;0.006
leisure;8;0.006
associated;8;0.006
First;8;0.006
slave;8;0.006
desperate;8;0.006
July;8;0.006
rich;8;0.006
attacked;8;0.006
misfortunes;8;0.006
boats;8;0.006
catch;8;0.006
widow;8;0.006
necessarily;8;0.006
turning;8;0.006
consideration;8;0.006
dram;8;0.006
complete;8;0.006
proposal;8;0.006
upright;8;0.006
presence;8;0.006
sensible;8;0.006
hills;8;0.006
affairs;8;0.006
remote;8;0.006
harbour;8;0.006
arrived;8;0.006
wise;8;0.006
eBook;8;0.006
intended;8;0.006
vessels;8;0.006
retired;8;0.006
ashore;8;0.006
pulling;8;0.006
One;8;0.006
hunger;8;0.006
agree;8;0.006
imagination;8;0.006
pulled;8;0.006
calling;8;0.006
mighty;8;0.006
imaginable;8;0.006
lightning;8;0.006
dangers;8;0.006
anxious;8;0.006
described;8;0.006
battle;8;0.006
sir;8;0.006
bit;8;0.006
parrot;8;0.006
posts;8;0.006
thrown;8;0.006
inches;8;0.006
road;8;0.006
rode;8;0.006
2;7;0.005
5;7;0.005
rational;7;0.005
o;7;0.005
suffered;7;0.005
including;7;0.005
wretch;7;0.005
sixteen;7;0.005
built;7;0.005
meddle;7;0.005
waited;7;0.005
seasons;7;0.005
expectation;7;0.005
